run,norm_condition,span_condition,document,caption_count,label,match,refclash,missing,refonly,reftotal,hypclash,spurious,hyponly,hyptotal,precision,recall,fmeasure,norm_match,norm_missing,norm_spurious,norm_precision_micro,norm_recall_micro,norm_fmeasure_micro,norm_precision_macro,norm_recall_macro,norm_fmeasure_macro
system1,any,strict,4298015,41,cell_type_or_line,0,6,38,44,44,0,0,0,0,1.0,0.0,0.0,0,18,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4298015,41,gene_or_protein,182,0,1,1,183,9,12,21,203,0.896551724137931,0.994535519125683,0.9430051813471503,14,30,44,0.2413793103448276,0.3181818181818182,0.27450980392156865,0.2791666666666667,0.40364583333333337,0.30069444444444443
system1,any,strict,4298015,41,organism_or_species,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,14,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4298015,41,small_molecule,0,2,31,33,33,0,0,0,0,1.0,0.0,0.0,0,26,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4298015,41,tissue_or_organ,0,1,26,27,27,0,0,0,0,1.0,0.0,0.0,0,11,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331002,38,cell_type_or_line,0,12,15,27,27,0,0,0,0,1.0,0.0,0.0,0,27,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331002,38,cellular_component,0,0,12,12,12,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331002,38,gene_or_protein,176,0,14,14,190,12,10,22,198,0.8888888888888888,0.9263157894736842,0.9072164948453608,26,78,33,0.4406779661016949,0.25,0.3190184049079755,0.5394736842105263,0.26403508771929823,0.32769423558897254
system1,any,strict,4331002,38,organism_or_species,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4331002,38,small_molecule,0,0,24,24,24,0,0,0,0,1.0,0.0,0.0,0,12,0,1.0,0.0,0.0,1.0,0.0,0.0
