run,document,figure,status,reflabel,refstart,refend,reftext,reftype,reftype_eqclass,hyplabel,hypstart,hypend,hyptext,hyptype,hyptype_eqclass
system1,4298015,Figure 1-A,match,gene_or_protein,17,21,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,17,21,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-A,missing,small_molecule,24,27,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 1-A,match,gene_or_protein,73,77,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,73,77,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-A,missing,small_molecule,138,141,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 1-A,missing,small_molecule,214,216,Zn,CHEBI:27363,CHEBI:27363,,,,,,
system1,4298015,Figure 1-B,match,gene_or_protein,12,16,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,12,16,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-B,missing,small_molecule,54,57,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 1-B,match,gene_or_protein,220,224,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,220,224,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-B,spurious,,,,,,,gene_or_protein,194,198,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,12,16,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,12,16,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,30,34,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,30,34,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,missing,cell_type_or_line,109,116,HEK293T,CVCL_0063,CVCL_0063,,,,,,
system1,4298015,Figure 1-C,match,gene_or_protein,143,146,Gli,Uniprot:P08151|Uniprot:P10070|Uniprot:P10071|Uniprot:P10075,Uniprot:P10071|NCBI gene:2735|Uniprot:P08151|Uniprot:P10075|Uniprot:P10070,gene_or_protein,143,146,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 1-C,match,gene_or_protein,231,235,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,231,235,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,263,267,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,263,267,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,361,365,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,361,365,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,402,406,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,402,406,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,match,gene_or_protein,434,438,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,434,438,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-C,spurious,,,,,,,gene_or_protein,163,166,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 1-C,spurious,,,,,,,gene_or_protein,156,159,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 1-E,match,gene_or_protein,2,6,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,2,6,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,missing,small_molecule,7,10,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 1-E,match,gene_or_protein,307,311,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,307,311,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,320,324,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,320,324,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,366,370,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,366,370,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,391,395,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,391,395,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,519,523,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,519,523,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,540,544,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,540,544,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,match,gene_or_protein,641,645,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,641,645,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 1-E,missing,small_molecule,653,656,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 1-E,match,gene_or_protein,700,704,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,700,704,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-A,match,gene_or_protein,16,20,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,16,20,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-A,missing,cell_type_or_line,60,67,HEK293T,CVCL_0063,CVCL_0063,,,,,,
system1,4298015,Figure 2-A,missing,cell_type_or_line,75,82,HEK293T,CVCL_0063,CVCL_0063,,,,,,
system1,4298015,Figure 2-A,match,gene_or_protein,114,117,Gli,Uniprot:P08151|Uniprot:P10070|Uniprot:P10071|Uniprot:P10075,Uniprot:P10071|NCBI gene:2735|Uniprot:P08151|Uniprot:P10075|Uniprot:P10070,gene_or_protein,114,117,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 2-A,match,gene_or_protein,195,199,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,195,199,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-A,missing,small_molecule,261,267,GANT61,PubChem:421610,PubChem:421610,,,,,,
system1,4298015,Figure 2-A,missing,small_molecule,330,334,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
