Q6P1D7	SLX4
Q9VKB9	Rab3Gap2
P34926	MAP1A
D3ZHV2	MACF18
353	APRT
P05067	APG10::,Aβ::,APP::,Aβ40::,Aβ42::,dRagA::,NAF‐1::,Sir2::,Ripk2::,SNX18::,UBE2E1::,Syk::,MyD88::,Prmt5::,Spi::,toyocamycin::,Cd36::,APPβ::,TBL1::,DGA1::,αSma::,Villin::,p48::,strophin c::,Ang-2::,CD11b::,ERK5::,Syt11::,exo84::,MAL::,OTUB1::,Ki67::,Caspase 3::,miR-10b::,CD11c::,LIF::,Lrig1::,FLCN::,Alix::,TBK1::,igfbp1a::,Nfe2l2::,HIF-1α::,Sec61β::,PCNA::,Gli2a
363288|117548|113886	KIF1
1254393	orgA
23939	ERK5::,Erk5
Q60739	BAG1::,bag1
21821	Ift88::,IFT88
10392	NOD1
P35343	cathepsin D::,TUB1::,Apg16p::,APG10::,F4/80::,Beclin‐1::,Vps24::,CD63::,PS1::,eat-2::,pha-4::,ULK2::,rl::,NAF‐1::,IP3R1::,HDAC6::,DHR3::,HMGB1::,IRGM::,Sqa::,Pla1::,PES1::,caspase‐3::,MVP::,IκBα::,endophilin::,CK2α::,ULK1::,Hla::,SseL::,Ly6G::,atg36::,Atg36::,Bim::,myosin-VI::,MCUR1::,Ptch2::,Sgk1::,raptor::,MITF1::,CD16::,aminopeptidase I::,LRRK2::,VDAC1::,Ubqln4::,IL-18::,miR-212::,α-MHC::,atg‐3::,survivin::,caspase 3::,ATG6::,AP2::,EEA1::,WASH::,NAG::,RINT-1::,GM130::,UVRAG::,MSH-6::,VPS-34::,MIC3::,Fas::,p22phox::,Atg8p::,ltn1::,VPS29::,PK::,Lon::,p47::,TDP43::,atg19::,dbl‐1::,ERdj3::,CRH::,Bcl-xL::,Bax::,SAS-6::,SPBC2A9.02::,NotI::,trt1::,β-globin::,RAB27B::,EMP1::,WIPI2B::,PHD3X::,Ctns::,Mgat3::,Aβ::,CD18::,PR-SET7::,Ltbr::,Twi1p::,IFN-γ::,FT::,IL-33::,Dusp5::,PCDH7::,rpb9::,FXR::,Oct4::,Sar1::,Yip1A::,Phb2::,NAV3::,AGO6::,Axin2::,Gnd1::,VHL::,Sec16A::,NRBF2::,UBE4B::,SlpA::,ex::,β-spectrin::,COLVII::,BDCA2::,BMP4::,Ccno::,Car::,Shi::,LXR::,β1 integrin::,ADAP::,type I collagen::,Snai1::,CXCR2::,CD34::,DDX3::,ypt1-1::,Snc1::,pep4::,Sec12::,XRCC4::,TNF::,Tsc22d3::,Mrc1::,LOX::,IL-1RA::,C7::,Acta1::,Ecad::,Catnb::,KLHL3::,p48::,Sema3A::,IgG2a::,Tgfb1::,VEGF::,TGF-β1::,NSMCE2::,YAP::,IFNγ::,IgG1::,Swi6::,Siglec‐5::,TLR8::,CD68::,CCM1::,abo1::,ral::,DCP1a::,HSP18.2::,RPA1::,Bak::,Smac::,p21::,DCC::,CD4::,CD22::,TET1::,FoxA2::,Lyzs::,NRAS::,miR-10b::,ABCB8::,Esr2::,Pitrm1::,gTbr2::,LukE::,LukD::,FBXO5::,TRPV2::,CS::,Lti6B::,PRP5::,TLR2::,CTCF::,Inhibin A::,Tead 1::,Rnaseh2b::,FIP3::,CK7::,CA IX::,C3b::,MCP::,Larp::,FUS::,PSD95::,PEN-2::,53BP1::,Sufu::,Ubp6::,Munc18-1::,CB1R::,MALAT1::,p150::,GADD45β::,Ifnar1::,WRNIP1::,ICP27::,Frs2::,Beclin1::,Plg::,Cor1::,Imp1::,ter1::,Ape1::,oncostatin M::,Fstl1::,fibronectin::,AKT3::,HuR::,Beclin-1::,VAPB::,NSUN3::,OAT::,chm7::,DNGR-1::,H2AX::,MET::,HGF::,Scl::,PNC1::,Multicilin::,Prom1::,SYCP3::,REC8::,UBQLN1::,Chs5::,GASZ::,Rab27b::,Trpml1::,p27::,KV10.1::,EpCam
P11881	SipB::,TIGAR::,MRLC::,wts::,BCL‐XL::,Tcfeb::,PDH::,ApaI::,MTMR3::,Phb2::,IP3R type 1::,CCR9::,miR-210::,KLHL3::,OTX2::,PTPRN2::,CCM1::,VEGF-A::,snr81::,FoxM1::,Fus::,NB-3::,CNOT3::,VCAM-1::,WRNIP1::,VN::,uPAR::,NRG1::,MAPKKK5::,H2AX::,IDH2
P29350	SHP1::,SHP‐1
Q16778|8349	H2B
340719	NANOS1
8915	BCL10
114879	ORP5
P33435	aut2::,apg10::,Bruce::,TIGAR::,p38IP::,BCL‐2::,α1 S::,ap::,AMPK α 1::,Atg16A::,Sqa::,MRLC::,inlK::,PDI::,CK2α::,Cdk1::,α-hemolysin::,Pho8::,LC8::,Tom1L2::,atg30::,EndoH::,XIAP::,caspase 3::,PMP70::,NAG::,PlcA::,ULK1::,PGL-1::,LC3β::,Atg19::,urh1::,Atp6v1h::,lap::,Itch::,ERdj3::,Clb2::,cay1::,Clc::,Cx3cr1::,spac::,Rpn1::,Rag2::,Dectin1::,PrP::,PR::,Ccno::,miR-210::,CD4::,Nrf1::,SOD1::,Snc1::,Mac2::,Rbx1::,YAP::,Sig5::,IL‐8::,PTPRN2::,CD206::,Id1::,Syt11::,APX2::,CD22::,miR-10b::,CASP1::,TRPV2::,TPO::,Calnexin::,MCP::,h3.3::,β2AR::,SPOP::,Nap1::,Smad2::,SEPT7::,RAB2A::,CNX::,NS1::,Ki67::,Pfkfb3::,Chs3
Q86VP1	T6BP::,TAX1BP1
P0CW71	MCP-1
Q16665	HIF-1α
B6CWJ6	toyocamycin
100504663	Atg14L::,ATG14::,Atg14::,atg14::,ATG14L
12740	rarβ::,DRP-1::,fem-1::,GLT1::,DAPK::,VCP::,Nix::,α1 S::,HDAC6::,Atg‐16::,clathrin heavy chain::,Rb::,COX IV::,wts::,ft::,Cdc2::,Cki1::,BI‐1::,AHCYL2::,ULK1::,Rap2b::,LC8::,Tom1::,Sph1::,LAMP-2::,Epg5::,epg-7::,Beclin‐1::,Ripk2::,miR-132::,Casp7::,lamin A/C::,SNX18::,XIAP::,FAPP1::,PlcA::,Beclin-1::,LC3B::,CIP2A::,FKBP15::,urh1::,TDP43::,HPRT::,lap::,TAS3a::,AGO6::,Secretagogin::,Bak::,CDC14::,trt1::,Id1::,EMP1::,HA::,KSHV‐TK::,Snail::,Dusp5::,FXR::,UBE2V1::,ERCC1::,CtIP::,Yip1A::,Insr::,PKM2::,APC::,hsp42::,Ccno::,miR-210::,ASM::,4EB-P1::,AR::,TP53INP1::,caspase‐3::,Smad6::,ADCK3::,Snq2::,Kar2::,prb1::,Kcnq1::,CHK1::,IL-1β::,C7::,Col1a1::,IL4::,Elastase2a::,PHD1::,Nsmce2::,CD107a::,Swi6::,swi6::,sp70::,Mapt::,PTPRN2::,CD11c::,CD4::,2d2::,CCM1::,KLF4::,ral::,Tie2::,VDAC3::,nMyc::,Ly6G::,miR-10b::,CtBP2::,PCM1::,Cas9::,TRPV2::,McIdas::,snr81::,TPO::,ALP::,Dvl::,miR-515-5p::,Ku70::,Rnaseh2b::,NB-3::,INVS::,Igλ::,NOT1::,β2AR::,α11.2::,H2A::,WRNIP1::,miR-150::,uPAR::,PAI-1::,a2AP::,ter1::,Atg19::,RAB2A::,ICOS::,Pou2af1::,NSUN3::,Sox9::,ErbB4::,JAM-A::,ins::,SMA::,Lin::,CYLD::,IL-2Rα::,RBM15::,Sept2::,HUWE1::,Bch1::,amylase::,Epo::,SYCP3::,Gli2a
Q9Y4D7	PlexinD1
Q9JLM8	DCLK1
P41778	hsc73::,proaminopeptidase I::,apg10::,AIF::,Atg4A::,PS1::,DAPk::,caspase-8::,daf-2::,TRAIL::,SUMO‐3::,α-COP::,dRagC::,p38α::,HDAC6::,Vti1b::,caspases 3::,spaghetti‐squash::,ZIPK::,bag3::,BAG3::,p14::,Aim2::,MVP::,actA::,XBP1::,TAB3::,M45::,UNC‐57::,RAB‐5::,TFEB::,Rap2b::,Ret::,Bim::,Tom1::,CEBPB::,MCUR1::,InsP3R::,Sph1::,W07G4.5::,nestin::,miR-212::,col‐10::,XIAP::,survivin::,Atg18::,TGN46::,ATG16L1::,galectin3::,RPA-1::,LLO::,Elk1::,Idp1::,TCF4::,VPS35::,spns1::,p47::,WIPI2b::,TDP43::,REST::,GL1::,atg34::,daf‐16::,Phsp‐4::,lap::,FUNDC1::,H-2Db::,TTR::,AGO6::,secretagogin::,Bax::,C-Nap1::,Rap1::,Id1::,F4/80::,Fas::,Rab3-GAP::,FXR::,SMRT::,RXRα::,GC‐G::,SHP1::,Rag2::,Sec24D::,NRPE1::,pat1::,miR‐290::,Wnt4::,Sec23A::,Sec16A::,SOD1::,miR-210::,Asm::,IL-6::,PD-1::,Tie2::,Ang1::,ALDH1A2::,Serinc3::,Foxa2::,cTNT::,titin::,Coq9::,Snc1::,Atg19::,ypt1-1::,Aβ40::,Sgk::,Tsc22d3::,PCBP4::,Tex11::,p48::,IgG2a::,Tgfb1::,NSMCE2::,AREG::,MICA::,Swi6::,Siglec‐14::,T3::,PTPRN2::,PIP5KB::,BIK1::,2d2::,Il23::,CHCHD10::,KLF4::,Syt11::,SLFN11::,RPA2::,Mfn2::,PUMILIO1::,HSP22.0::,Irf7::,CD4::,CD25::,CD69::,RAB1B::,cMyc::,Tom22::,OTUB1::,ABCB8::,Pitrm1::,IFNβ::,NAT10::,LukD::,TRPV2::,FoxM1::,Stat3::,ATAD3::,FGF::,Dvl::,Mis18::,Uba2::,mRPL19::,tamas::,GAD-65::,Sufu::,G45b::,Rab34::,α11.2::,SPOP::,ATXN2::,WRNIP1::,Caspase-3::,FRMD6::,SEPT6::,uPA::,plasmin::,VN::,Aco1::,Ape1::,EGOT::,AKT2::,Foxp3::,HuR::,TNF-alpha::,LC3B::,USP19::,CPAP::,TUJ1::,CREST::,U5D::,TDP-43::,thrombin::,Gal4::,mapkkk5::,bactin::,Lyz2::,Mavs::,MCIDAS::,Eno1::,CD34::,eNOS::,Pin2::,bud7::,Cyt C::,GATA-1::,Trpml1::,EpoR
O95259	KV10.1
E9PTD9	TLR2
P19332	tau::,Tau
P12683	Hmg1
P17679	GATA-1
P53091	Mcm6::,mcm6
Q91VN4	CHCHD6
Q06890	CLU
P79483	drb3)
P52910	Acs2p
O75030	MITF1::,MITF
10432	RBM14
P63085|Q63844	aut7::,Apg10p::,Htt::,Buffy::,RagB::,Jumpy::,htt::,epsin 1::,calnexin::,HMGB1::,ERK::,BAX::,IL‐1β::,ERK1/2::,SCOC::,MCUR1::,p20::,atg‐2::,ALG‐2::,let-7a::,PARK2::,Ape1::,Dcp-1::,invG::,REST::,Mcoln1::,Bak::,Spc42::,Aβ::,Noc::,IL-33::,CNGA3::,UBE2T::,LCK::,Pkm2::,ATP8A1::,UBE4B::,BDCA2::,MDH2::,LC3B::,phosphofructokinase::,Coq9::,pep4::,XRCC4::,Tnfa::,C7::,NRP1::,VEGF::,VEGF-C::,Mef2D::,ral::,RPA2::,DND1::,netrin-1::,Syk::,CTCF::,TRAPPC4::,JUNB::,PITRM1::,IL1R1::,VEGF-A::,acetyl-CoA::,KLF5::,SMC3::,Ku70::,α11.2::,SPOP::,Cdk1::,mdm10::,Atg19::,CXCR5::,ERp57::,CREST::,FBW7α::,heh2::,bactin::,CD90::,CARD14
10892	MALT1
850782	emerin::,Aβ42::,α-amylase::,fem-1::,Jumpy::,p38IP::,DHR3::,cortactin::,DRP1::,Beclin‐1::,LGG-1::,ARL8::,KIF2::,Cdc11::,InlK::,Beclin-1::,CK2α::,MCOLN1::,sqst-1::,miR-132::,gba::,lamin B1::,PMP70::,LAMP2::,EGF::,dnm1::,HACE1::,Comp V β::,urh1::,WIPI2b::,IBA-1::,Cx3cr1::,PR-SET7::,NFATc1::,gi-2::,DTS::,Phb2::,PKM2::,Axin2::,ATP8A2::,Prmt5::,Rubicon::,SlpB::,TIP60::,Cep63::,Dgcr8::,Abca1::,CTLA-4::,Tie2::,TP53INP1::,IL-17A::,CD34::,DDX5::,PRB1::,LOX::,tgl4::,Mac2::,rhodopsin::,Catnb::,casp3::,α-SMA::,TGF-α::,Rab8B::,IRC3::,Siglec‐7::,Siglec‐14::,LRRC8D::,lamininin-2::,Ang-2::,APX2::,Bak::,Ctnnb1::,DNase I::,Stat1::,atpcl::,Wnt 3a::,ICAT::,Cdca5::,Dvl::,Sld3::,NB-3::,INVS::,munc18-1::,WRNIP1::,ICP27::,uPAR::,Col1a1::,CD4::,HuR::,Pgc1::,NavMs::,GSDMD::,DIS3L2::,JAM-A::,PS1::,ATM::,DP1::,RBM15::,Mx1::,Cdk1::,KV10.1::,fft2::,Gli2a
P26599	PTB
Q9BTA9	WAC
Q6PF93	Vps34::,vps34::,VPS34
P01732	CD8
9512	MPPβ
P03069	GCN4
