P39052	Dyn2
2854616	mate
10764	CD89
Q9VAW5	Larp::,larp
40664	ITPR1
379967	C/EBPα
A0A0F6MW12	BlaM
38345	MRPS35::,MRPS28
P03302	BE2D3,::,and*P=
393351	CHMP5
O60784	Tom1
P62500	Tsc22d1::,TSC22D1
373928	parγ)
855745	RNA2
326282	Smad7::,SMAD7
30583	l-plastin
O93616	notch1b
170743	TLR 7
Q6GM86|Q92130	histone
214579	Aldh5a1
Q91VS8	including
Q6PCU4	EMD
P45985	Jnk3
F1LN92	AFG3L2
J7IHT9	PI3Kp85β::,PI3Kp85α
P28907	CD38
P24071	CD89
Q60795	nrf2::,Nrf2::,NRF2
9373	PLAA
216799	aut2::,TIGAR::,Beclin1::,IRGM::,NALP3::,BI‐1::,NLRP3::,LC3::,TAB2::,FEZ1::,pep4::,atg36::,Ret::,CD16::,epg-7::,CREST::,Ripk2::,Drp1::,Atg16L1::,PLS3::,Fbxo7::,CIP2A::,Atg16::,WASH1::,Complex V β::,TDP43::,Atg3::,Dendra-tau::,TTR::,GNL2::,Ctns::,Mcm2::,DOG1::,COI12::,rpb1::,SlpA::,GOT2::,LXR::,ceramidase::,Lgr5::,Bmf::,Ttn::,DDX17::,prb1::,Kcnq1::,ZO1::,JNK::,LAMP1::,GAPDH::,AID::,MICA::,TNFα::,Rpp30::,α3::,fkh::,HBO1::,Nox4::,PPP3CB::,Pgr::,PBIP1::,FoxM1::,Fus::,ChAT::,h3.3::,RNAseHI::,Fbxl17::,ICP27::,Frs2::,TGFβ::,Rab1a::,Nde1::,CPAP::,GSK-3β::,caspase 3::,Snf7::,mapkkk5::,NCT::,NAT4::,TAZ::,Bch2::,VEGF-A::,PDI::,Smc3::,IL-1R1::,CCR6::,p97::,Huwe1::,MPK4::,Dcp1a
23604	DAPk::,DAPK
5037	RKIP
13137	Cd55b
64470	DDB1
170484	Pod
P42227	p62::,dRagC::,p38α::,DOR::,CathepsinL::,inlK::,CAMP::,TFEB::,EPG-7::,epg-7::,Stat3::,STAT3::,Mfn2::,UVRAG::,H3R::,Hace1::,dbl‐1::,LAMP1::,gri::,Aβ::,Ataxin‐3::,LGR5::,Dgcr8::,Snc1::,Npc2::,Tgfbr2::,Rab8A::,Rabin8::,IL‐8::,RAS::,MKKK7::,NB-3::,Ubp6::,WRNIP1::,NSUN3::,UBQLN4::,Bach1::,fft3::,Ret::,CUEDC2::,c-Jun::,Syk::,Myh7::,EB3::,Pho8::,yki::,IL-1R1::,mps3
9781|255488	RNF144
