J7HCD4	hCD4
Q6P3X3	ROM4
945571	ompA
395977	Gfi1b
80873	sac1
S5N020	CoA
P17480	UBF1
35385	Nibbler::,Nbr
2806|14719	ach1::,mdx::,GOT2::,Got2::,cGAS::,FH::,p16
23468	HP1a
Q1HB02	apg12::,p38IP::,Bim::,ZK1053.4::,W07G4.5::,Ubqln4::,atg‐3::,TDP43::,GRL1::,lap::,GRI::,CPAP::,LSD1::,SlpA::,CD31::,CD22::,miR-10b::,choline acetyl transferase::,Ucp1::,Shp2
29154	calpain 2::,Calpain 2
P48436	IFN-γ::,Jumpy::,Vti1b::,dachs::,DNase I::,TAB3::,SCOC::,myosin VI::,Mcip1::,Aurora B::,WIPI-1::,BEC-1::,ACS2::,ddm1::,GRI::,CPAP::,RBM14::,Aβ::,Cx3cr1::,Sox9::,KSHV‐TK::,Dusp5::,GC‐G::,AP::,Wnt4::,SOX9::,β-spectrin::,BMP4::,ALDH1A1::,Snc1::,Kcnq1::,MICA::,Siglec‐5::,GABAAR α3::,UnaG::,Fkh::,ApoE::,raptor::,TET2::,BDNF::,EB3::,HDAC6::,Lyzs::,p38γ::,TESK1::,TRPV2::,GSK3β::,MT-CO1::,Lrig3::,Tom22::,Rab1a::,Bcl6::,NAT4::,Eif3k::,noggin::,KV10.2::,Mpc1::,Mek1::,CD4::,Mfn2::,EGF::,VEGF-A::,Act::,IL-1R1::,TOMM20::,Clpp::,Apc::,mpk4
827419	bam3::,BAM3
Q9KV11	Hfq
27223	Trp53bp1
Q46897	Case12
10677	Avil
Q60457	SOAT1
Q6V0L0	CYP26C1::,cyp26c1
2828729	MMTV‐
20333	Sec22b
Q00960	GluN2B
Q8JZL2	MCH::,MCH-R1::,mCh
Q10758	cytokeratin 5::,cytokeratin
P08121	COL3A1
O15357	Fcγ::,collagen1::,Collagen1
101713313	EFS
P48422	ADAS
P20966	pT202
Q9WUI1|O08911|Q9Z1B7|P47811	p38::,P38
A0A1S3L5Q9	rssA
252025	DN2
406881|406882|406883	MuRF‐1::,let-7a::,let-7::,Coq9::,TAZ::,VEGF-A::,ATXN2::,S100a8::,CD34::,UBQLN4
P15056|P28028	B-Raf::,B-raf
Q27607	LIF::,Tamas::,tamas::,miR-132::,IL-1R1
945105	A subunits
2541088	pob3
34715450	Srs2::,srs2::,SRS2
P10828	Thr1
Q00613	CaM::,ORP1L::,Sqa::,adipose triglyceride lipase::,gigi::,CLIC4::,Dcp-1::,TDP43::,FUNDC1::,RBM14::,Rag2::,HSF1::,Hsf1::,Centrin::,Npc2::,CEP290::,Villin::,Rab13::,swi6::,FOSL2::,CD28::,CD22::,TRAPPC3::,ATPCL::,RanBP2::,REC8::,PTPIP51::,SIRT5::,EpoR::,LIMT::,Mapk3::,Mtmr2::,GluA1::,Pten
P97474	brx
P07830	βactin
5594|5595	ERK
9587344	WC-2
P0AEG1	DPPC
30519	c-Myb::,c-myb
29292387	ATP5A1
Q7TSH4	CP110
A0A178UEW4	AT5G09810
P0C6X3	(ab′)2
Q0GGW5	LKB1
31271	hid::,epg-7::,TTR::,VEGF-A::,Rab1a::,IL-2Rα
Q96S55	Beclin1::,spaghetti‐squash::,srtA::,LC3A::,p20::,Atg38::,GRI::,NAV3::,Karst::,Kst::,β-spectrin::,UBC::,Swi6::,ESCO2::,Get4::,WRNIP1::,CD4::,CD127::,ins::,IL6::,p65
Q96RK4	BBS4
3799	KIF5B
9825	SPATA2::,spata2
35406699	FRQ
28999	KLF15
617935	CUL4A
P22855	SipB::,daf-15::,phl::,NAF‐1::,TAB2::,α-hemolysin::,CTA1::,Ret::,beclin-1::,ROCK1::,PlcA::,IFT20::,Ams1::,WIPI2b::,TDP43::,Bak::,Rag2::,Il13::,Dusp5::,USP30::,Yip1A::,PR::,NIX::,cyclin D1::,Coq6::,IgG2a::,YAP::,Rpp30::,Il23::,BMP6::,ABCB8::,Stat2::,NAT10::,Tbr2::,PCNT::,chm::,IL-23p19::,eIF4A::,SirT7::,TNRC6A::,db::,plasmin::,trt1::,α-mannosidase::,Pou2af1::,FBW7α::,NLRP3::,LacI::,UbcH7::,Ulk1::,IRF3
A5PKA5	v-Glut1
P06702	s100a9
P36968	GPx4
2668	pGL3basic
Q5I1X5	PPP1R13L::,iASPP::,ppp1r13l
834630	aut7::,Atg7::,ATG7::,atg7::,Jumpy::,MPR::,caspases 3::,PELP1::,actA::,M45::,atg7-2::,Epg5::,epg-7::,nsP2::,DCP1A::,let-7::,ATG-7::,hrr25‐ts::,LGG‐1::,GRI::,Clb2::,mpx::,PI3K::,Catnb::,Syt11::,Su(H)::,IKBα::,IFN-β::,IL3::,miR-10b::,NAT10::,Prp5::,LIF::,SMC3::,Gadd45g::,α11.2::,EGOT::,CYCB1;2::,FBW7::,CARD14::,SYCE2::,Ret::,INPP5E::,Cdc48::,YAP::,Tek
234214	miR-21-3p
Q9XYZ5	DDB1
3910	Lama4::,laminin α4::,laminin 411::,laminin 511
5081	pax7::,PAX7
